=========================================== EPC ===========================================
Number of Population=20 | D=10, Max Iter=100 | Total pairs=45 | Initial Fitness=50.729
===========================================================================================
Iter    1/100 | best=2.9973 | mu=0.050 | mutation=0.050
Iter    2/100 | best=2.9973 | mu=0.050 | mutation=0.050
Iter    3/100 | best=2.9973 | mu=0.049 | mutation=0.049
Iter    4/100 | best=2.9973 | mu=0.049 | mutation=0.049
Iter    5/100 | best=2.9973 | mu=0.048 | mutation=0.048
Iter    6/100 | best=2.9973 | mu=0.048 | mutation=0.048
Iter    7/100 | best=2.9973 | mu=0.047 | mutation=0.047
Iter    8/100 | best=2.9973 | mu=0.047 | mutation=0.047
Iter    9/100 | best=2.9973 | mu=0.046 | mutation=0.046
Iter   10/100 | best=2.9973 | mu=0.046 | mutation=0.046
Iter   11/100 | best=2.9973 | mu=0.045 | mutation=0.045
Iter   12/100 | best=2.9973 | mu=0.045 | mutation=0.045
Iter   13/100 | best=2.9973 | mu=0.044 | mutation=0.044
Iter   14/100 | best=2.9973 | mu=0.044 | mutation=0.044
Iter   15/100 | best=2.9973 | mu=0.043 | mutation=0.043
Iter   16/100 | best=2.9973 | mu=0.043 | mutation=0.043
Iter   17/100 | best=2.9973 | mu=0.043 | mutation=0.043
Iter   18/100 | best=2.9973 | mu=0.042 | mutation=0.042
Iter   19/100 | best=2.9973 | mu=0.042 | mutation=0.042
Iter   20/100 | best=2.9973 | mu=0.041 | mutation=0.041
Iter   21/100 | best=2.9973 | mu=0.041 | mutation=0.041
Iter   22/100 | best=2.9973 | mu=0.040 | mutation=0.040
Iter   23/100 | best=2.9973 | mu=0.040 | mutation=0.040
Iter   24/100 | best=2.9973 | mu=0.040 | mutation=0.040
Iter   25/100 | best=2.9973 | mu=0.039 | mutation=0.039
Iter   26/100 | best=2.9973 | mu=0.039 | mutation=0.039
Iter   27/100 | best=2.9973 | mu=0.039 | mutation=0.039
Iter   28/100 | best=2.9973 | mu=0.038 | mutation=0.038
Iter   29/100 | best=2.9973 | mu=0.038 | mutation=0.038
Iter   30/100 | best=2.9973 | mu=0.037 | mutation=0.037
Iter   31/100 | best=2.9973 | mu=0.037 | mutation=0.037
Iter   32/100 | best=2.9973 | mu=0.037 | mutation=0.037
Iter   33/100 | best=2.9973 | mu=0.036 | mutation=0.036
Iter   34/100 | best=2.9973 | mu=0.036 | mutation=0.036
Iter   35/100 | best=2.9973 | mu=0.036 | mutation=0.036
Iter   36/100 | best=2.9973 | mu=0.035 | mutation=0.035
Iter   37/100 | best=2.9973 | mu=0.035 | mutation=0.035
Iter   38/100 | best=2.9973 | mu=0.034 | mutation=0.034
Iter   39/100 | best=2.9973 | mu=0.034 | mutation=0.034
Iter   40/100 | best=2.9973 | mu=0.034 | mutation=0.034
Iter   41/100 | best=2.9973 | mu=0.033 | mutation=0.033
Iter   42/100 | best=2.9973 | mu=0.033 | mutation=0.033
Iter   43/100 | best=2.9973 | mu=0.033 | mutation=0.033
Iter   44/100 | best=2.9973 | mu=0.032 | mutation=0.032
Iter   45/100 | best=2.9973 | mu=0.032 | mutation=0.032
Iter   46/100 | best=2.9973 | mu=0.032 | mutation=0.032
Iter   47/100 | best=2.9973 | mu=0.031 | mutation=0.031
Iter   48/100 | best=2.9973 | mu=0.031 | mutation=0.031
Iter   49/100 | best=2.9973 | mu=0.031 | mutation=0.031
Iter   50/100 | best=2.9973 | mu=0.031 | mutation=0.031
Iter   51/100 | best=2.9973 | mu=0.030 | mutation=0.030
Iter   52/100 | best=2.9973 | mu=0.030 | mutation=0.030
Iter   53/100 | best=2.9973 | mu=0.030 | mutation=0.030
Iter   54/100 | best=2.9973 | mu=0.029 | mutation=0.029
Iter   55/100 | best=2.9973 | mu=0.029 | mutation=0.029
Iter   56/100 | best=2.9973 | mu=0.029 | mutation=0.029
Iter   57/100 | best=2.9973 | mu=0.028 | mutation=0.028
Iter   58/100 | best=2.9973 | mu=0.028 | mutation=0.028
Iter   59/100 | best=2.9973 | mu=0.028 | mutation=0.028
Iter   60/100 | best=2.9973 | mu=0.028 | mutation=0.028
Iter   61/100 | best=2.9973 | mu=0.027 | mutation=0.027
Iter   62/100 | best=2.9973 | mu=0.027 | mutation=0.027
Iter   63/100 | best=2.9973 | mu=0.027 | mutation=0.027
Iter   64/100 | best=2.9973 | mu=0.027 | mutation=0.027
Iter   65/100 | best=2.9973 | mu=0.026 | mutation=0.026
Iter   66/100 | best=2.9973 | mu=0.026 | mutation=0.026
Iter   67/100 | best=2.9973 | mu=0.026 | mutation=0.026
Iter   68/100 | best=2.9973 | mu=0.025 | mutation=0.025
Iter   69/100 | best=2.9973 | mu=0.025 | mutation=0.025
Iter   70/100 | best=2.9973 | mu=0.025 | mutation=0.025
Iter   71/100 | best=2.9973 | mu=0.025 | mutation=0.025
Iter   72/100 | best=2.9973 | mu=0.024 | mutation=0.024
Iter   73/100 | best=2.9973 | mu=0.024 | mutation=0.024
Iter   74/100 | best=2.9973 | mu=0.024 | mutation=0.024
Iter   75/100 | best=2.9973 | mu=0.024 | mutation=0.024
Iter   76/100 | best=2.9973 | mu=0.024 | mutation=0.024
Iter   77/100 | best=2.9973 | mu=0.023 | mutation=0.023
Iter   78/100 | best=2.9973 | mu=0.023 | mutation=0.023
Iter   79/100 | best=2.9973 | mu=0.023 | mutation=0.023
Iter   80/100 | best=2.9973 | mu=0.023 | mutation=0.023
Iter   81/100 | best=2.9973 | mu=0.022 | mutation=0.022
Iter   82/100 | best=2.9973 | mu=0.022 | mutation=0.022
Iter   83/100 | best=2.9973 | mu=0.022 | mutation=0.022
Iter   84/100 | best=2.9973 | mu=0.022 | mutation=0.022
Iter   85/100 | best=2.9973 | mu=0.021 | mutation=0.021
Iter   86/100 | best=2.9973 | mu=0.021 | mutation=0.021
Iter   87/100 | best=2.9973 | mu=0.021 | mutation=0.021
Iter   88/100 | best=2.9973 | mu=0.021 | mutation=0.021
Iter   89/100 | best=2.9973 | mu=0.021 | mutation=0.021
Iter   90/100 | best=2.9973 | mu=0.020 | mutation=0.020
Iter   91/100 | best=2.9973 | mu=0.020 | mutation=0.020
Iter   92/100 | best=2.9973 | mu=0.020 | mutation=0.020
Iter   93/100 | best=2.9973 | mu=0.020 | mutation=0.020
Iter   94/100 | best=2.9973 | mu=0.020 | mutation=0.020
Iter   95/100 | best=2.9973 | mu=0.019 | mutation=0.019
Iter   96/100 | best=2.9973 | mu=0.019 | mutation=0.019
Iter   97/100 | best=2.9973 | mu=0.019 | mutation=0.019
Iter   98/100 | best=2.9973 | mu=0.019 | mutation=0.019
Iter   99/100 | best=2.9973 | mu=0.019 | mutation=0.019
Iter  100/100 | best=2.9973 | mu=0.018 | mutation=0.018
=========================================== EPC ===========================================
Number of Population=20 | D=10, Max Iter=100 | Total pairs=45 | Initial Fitness=50.655
===========================================================================================
Iter    1/100 | best=0.6038 | mu=0.050 | mutation=0.050
Iter    2/100 | best=0.6038 | mu=0.050 | mutation=0.050
Iter    3/100 | best=0.6038 | mu=0.049 | mutation=0.049
Iter    4/100 | best=0.6038 | mu=0.049 | mutation=0.049
Iter    5/100 | best=0.6038 | mu=0.048 | mutation=0.048
Iter    6/100 | best=0.6038 | mu=0.048 | mutation=0.048
Iter    7/100 | best=0.6038 | mu=0.047 | mutation=0.047
Iter    8/100 | best=0.6038 | mu=0.047 | mutation=0.047
Iter    9/100 | best=0.6038 | mu=0.046 | mutation=0.046
Iter   10/100 | best=0.6038 | mu=0.046 | mutation=0.046
Iter   11/100 | best=0.6038 | mu=0.045 | mutation=0.045
Iter   12/100 | best=0.6038 | mu=0.045 | mutation=0.045
Iter   13/100 | best=0.6038 | mu=0.044 | mutation=0.044
Iter   14/100 | best=0.6038 | mu=0.044 | mutation=0.044
Iter   15/100 | best=0.6038 | mu=0.043 | mutation=0.043
Iter   16/100 | best=0.6038 | mu=0.043 | mutation=0.043
Iter   17/100 | best=0.6038 | mu=0.043 | mutation=0.043
Iter   18/100 | best=0.6038 | mu=0.042 | mutation=0.042
Iter   19/100 | best=0.6038 | mu=0.042 | mutation=0.042
Iter   20/100 | best=0.6038 | mu=0.041 | mutation=0.041
Iter   21/100 | best=0.6038 | mu=0.041 | mutation=0.041
Iter   22/100 | best=0.6038 | mu=0.040 | mutation=0.040
Iter   23/100 | best=0.6038 | mu=0.040 | mutation=0.040
Iter   24/100 | best=0.6038 | mu=0.040 | mutation=0.040
Iter   25/100 | best=0.6038 | mu=0.039 | mutation=0.039
Iter   26/100 | best=0.6038 | mu=0.039 | mutation=0.039
Iter   27/100 | best=0.6038 | mu=0.039 | mutation=0.039
Iter   28/100 | best=0.6038 | mu=0.038 | mutation=0.038
Iter   29/100 | best=0.6038 | mu=0.038 | mutation=0.038
Iter   30/100 | best=0.6038 | mu=0.037 | mutation=0.037
Iter   31/100 | best=0.6038 | mu=0.037 | mutation=0.037
Iter   32/100 | best=0.6038 | mu=0.037 | mutation=0.037
Iter   33/100 | best=0.6038 | mu=0.036 | mutation=0.036
Iter   34/100 | best=0.6038 | mu=0.036 | mutation=0.036
Iter   35/100 | best=0.6038 | mu=0.036 | mutation=0.036
Iter   36/100 | best=0.6038 | mu=0.035 | mutation=0.035
Iter   37/100 | best=0.6038 | mu=0.035 | mutation=0.035
Iter   38/100 | best=0.6038 | mu=0.034 | mutation=0.034
Iter   39/100 | best=0.6038 | mu=0.034 | mutation=0.034
Iter   40/100 | best=0.6038 | mu=0.034 | mutation=0.034
Iter   41/100 | best=0.6038 | mu=0.033 | mutation=0.033
Iter   42/100 | best=0.6038 | mu=0.033 | mutation=0.033
Iter   43/100 | best=0.6038 | mu=0.033 | mutation=0.033
Iter   44/100 | best=0.6038 | mu=0.032 | mutation=0.032
Iter   45/100 | best=0.6038 | mu=0.032 | mutation=0.032
Iter   46/100 | best=0.6038 | mu=0.032 | mutation=0.032
Iter   47/100 | best=0.6038 | mu=0.031 | mutation=0.031
Iter   48/100 | best=0.6038 | mu=0.031 | mutation=0.031
Iter   49/100 | best=0.6038 | mu=0.031 | mutation=0.031
Iter   50/100 | best=0.6038 | mu=0.031 | mutation=0.031
Iter   51/100 | best=0.6038 | mu=0.030 | mutation=0.030
Iter   52/100 | best=0.6038 | mu=0.030 | mutation=0.030
Iter   53/100 | best=0.6038 | mu=0.030 | mutation=0.030
Iter   54/100 | best=0.6038 | mu=0.029 | mutation=0.029
Iter   55/100 | best=0.6038 | mu=0.029 | mutation=0.029
Iter   56/100 | best=0.6038 | mu=0.029 | mutation=0.029
Iter   57/100 | best=0.6038 | mu=0.028 | mutation=0.028
Iter   58/100 | best=0.6038 | mu=0.028 | mutation=0.028
Iter   59/100 | best=0.6038 | mu=0.028 | mutation=0.028
Iter   60/100 | best=0.6038 | mu=0.028 | mutation=0.028
Iter   61/100 | best=0.6038 | mu=0.027 | mutation=0.027
Iter   62/100 | best=0.6038 | mu=0.027 | mutation=0.027
Iter   63/100 | best=0.6038 | mu=0.027 | mutation=0.027
Iter   64/100 | best=0.6038 | mu=0.027 | mutation=0.027
Iter   65/100 | best=0.6038 | mu=0.026 | mutation=0.026
Iter   66/100 | best=0.6038 | mu=0.026 | mutation=0.026
Iter   67/100 | best=0.6038 | mu=0.026 | mutation=0.026
Iter   68/100 | best=0.6038 | mu=0.025 | mutation=0.025
Iter   69/100 | best=0.6038 | mu=0.025 | mutation=0.025
Iter   70/100 | best=0.6038 | mu=0.025 | mutation=0.025
Iter   71/100 | best=0.6038 | mu=0.025 | mutation=0.025
Iter   72/100 | best=0.6038 | mu=0.024 | mutation=0.024
Iter   73/100 | best=0.6038 | mu=0.024 | mutation=0.024
Iter   74/100 | best=0.6038 | mu=0.024 | mutation=0.024
Iter   75/100 | best=0.6038 | mu=0.024 | mutation=0.024
Iter   76/100 | best=0.6038 | mu=0.024 | mutation=0.024
Iter   77/100 | best=0.6038 | mu=0.023 | mutation=0.023
Iter   78/100 | best=0.6038 | mu=0.023 | mutation=0.023
Iter   79/100 | best=0.6038 | mu=0.023 | mutation=0.023
Iter   80/100 | best=0.6038 | mu=0.023 | mutation=0.023
Iter   81/100 | best=0.6038 | mu=0.022 | mutation=0.022
Iter   82/100 | best=0.6038 | mu=0.022 | mutation=0.022
Iter   83/100 | best=0.6038 | mu=0.022 | mutation=0.022
Iter   84/100 | best=0.6038 | mu=0.022 | mutation=0.022
Iter   85/100 | best=0.6038 | mu=0.021 | mutation=0.021
Iter   86/100 | best=0.6038 | mu=0.021 | mutation=0.021
Iter   87/100 | best=0.6038 | mu=0.021 | mutation=0.021
Iter   88/100 | best=0.6038 | mu=0.021 | mutation=0.021
Iter   89/100 | best=0.6038 | mu=0.021 | mutation=0.021
Iter   90/100 | best=0.6038 | mu=0.020 | mutation=0.020
Iter   91/100 | best=0.6038 | mu=0.020 | mutation=0.020
Iter   92/100 | best=0.6038 | mu=0.020 | mutation=0.020
Iter   93/100 | best=0.6038 | mu=0.020 | mutation=0.020
Iter   94/100 | best=0.6038 | mu=0.020 | mutation=0.020
Iter   95/100 | best=0.6038 | mu=0.019 | mutation=0.019
Iter   96/100 | best=0.6038 | mu=0.019 | mutation=0.019
Iter   97/100 | best=0.6038 | mu=0.019 | mutation=0.019
Iter   98/100 | best=0.6038 | mu=0.019 | mutation=0.019
Iter   99/100 | best=0.6038 | mu=0.019 | mutation=0.019
Iter  100/100 | best=0.6038 | mu=0.018 | mutation=0.018
=========================================== EPC ===========================================
Number of Population=20 | D=10, Max Iter=100 | Total pairs=45 | Initial Fitness=54.480
===========================================================================================
Iter    1/100 | best=1.3311 | mu=0.050 | mutation=0.050
Iter    2/100 | best=1.3311 | mu=0.050 | mutation=0.050
Iter    3/100 | best=1.3311 | mu=0.049 | mutation=0.049
Iter    4/100 | best=1.3311 | mu=0.049 | mutation=0.049
Iter    5/100 | best=1.3311 | mu=0.048 | mutation=0.048
Iter    6/100 | best=1.3311 | mu=0.048 | mutation=0.048
Iter    7/100 | best=1.3311 | mu=0.047 | mutation=0.047
Iter    8/100 | best=1.3311 | mu=0.047 | mutation=0.047
Iter    9/100 | best=1.3311 | mu=0.046 | mutation=0.046
Iter   10/100 | best=1.3311 | mu=0.046 | mutation=0.046
Iter   11/100 | best=1.3311 | mu=0.045 | mutation=0.045
Iter   12/100 | best=1.3311 | mu=0.045 | mutation=0.045
Iter   13/100 | best=1.3311 | mu=0.044 | mutation=0.044
Iter   14/100 | best=1.3311 | mu=0.044 | mutation=0.044
Iter   15/100 | best=1.3311 | mu=0.043 | mutation=0.043
Iter   16/100 | best=1.3311 | mu=0.043 | mutation=0.043
Iter   17/100 | best=1.3311 | mu=0.043 | mutation=0.043
